file_name,text_length,chunks_count,expected_sentiment_value,sentiment_volatility
153.txt,404,2,3.225,0.2061
1530.txt,1031,3,2.126,0.6645
1531.txt,167,1,2.9762,0.0
1532.txt,140,1,2.9774,0.0
1533.txt,1345,4,3.0656,0.0288
1534.txt,116,1,2.9821,0.0
1535.txt,4114,11,2.9881,0.5539
1536.txt,1402,4,2.87,0.1217
1537.txt,1573,4,3.1704,0.2984
1538.txt,310,1,4.0207,0.0
1539.txt,707,2,2.6896,0.0623
154.txt,374,1,3.0935,0.0
1540.txt,293,1,2.7817,0.0
1541.txt,134,1,2.8724,0.0
1542.txt,413,2,3.0051,0.0009
1543.txt,248,1,2.796,0.0
1544.txt,65,1,2.9655,0.0
1545.txt,112,1,3.7382,0.0
1546.txt,62,1,2.9919,0.0
1547.txt,195,1,2.9428,0.0
1548.txt,440,2,3.0477,0.0213
1549.txt,83,1,2.4833,0.0
155.txt,639,2,3.657,0.0781
1550.txt,220,1,3.0194,0.0
1551.txt,77,1,3.0044,0.0
1552.txt,1566,4,3.1633,0.1993
1553.txt,74,1,3.4474,0.0
1554.txt,728,2,3.0388,0.0305
1555.txt,202,1,3.4559,0.0
1556.txt,224,1,3.0349,0.0
1557.txt,1850,5,2.7849,0.3516
1558.txt,139,1,3.0052,0.0
1559.txt,134,1,2.853,0.0
156.txt,455,2,3.0038,0.0115
1560.txt,809,3,2.8206,0.4518
1561.txt,50,1,3.0278,0.0
1562.txt,1747,5,2.9099,0.4315
1563.txt,159,1,3.1144,0.0
1564.txt,1324,4,3.0278,0.0461
1565.txt,1430,4,2.9992,0.0208
1566.txt,1675,5,2.7938,0.6098
1567.txt,67,1,3.0117,0.0
1568.txt,297,1,4.4295,0.0
1569.txt,131,1,2.7916,0.0
157.txt,352,1,3.0088,0.0
1570.txt,535,2,2.9948,0.8992
1571.txt,1955,5,2.6845,0.3954
1572.txt,421,2,2.5226,0.4375
1573.txt,810,3,2.963,0.6196
1574.txt,110,1,2.0572,0.0
1575.txt,1975,5,2.2196,0.4911
1576.txt,159,1,3.008,0.0
1577.txt,664,2,2.7402,0.2683
1578.txt,147,1,3.1396,0.0
1579.txt,722,2,2.5721,0.336
158.txt,395,1,3.1761,0.0
1580.txt,410,2,2.7757,0.1934
1581.txt,193,1,2.9654,0.0
1582.txt,77,1,2.7992,0.0
1583.txt,366,1,2.8853,0.0
1584.txt,491,2,3.0653,0.0259
1585.txt,105,1,3.002,0.0
1586.txt,181,1,2.9746,0.0
1587.txt,2108,6,3.4194,0.5212
1588.txt,90,1,2.7682,0.0
1589.txt,55,1,2.9923,0.0
159.txt,88,1,3.0074,0.0
1590.txt,130,1,3.0446,0.0
1591.txt,1707,5,3.1426,0.4011
1592.txt,131,1,2.3086,0.0
1593.txt,276,1,2.8305,0.0
1594.txt,1127,3,2.7427,0.7164
1595.txt,270,1,2.995,0.0
1596.txt,91,1,2.9933,0.0
1597.txt,295,1,3.0201,0.0
1598.txt,254,1,3.0012,0.0
1599.txt,195,1,2.4908,0.0
16.txt,4217,11,2.5441,0.5918
160.txt,149,1,2.995,0.0
1600.txt,2789,7,2.9138,0.883
1601.txt,126,1,3.0006,0.0
1602.txt,47,1,2.3974,0.0
1603.txt,49,1,2.5356,0.0
1604.txt,104,1,3.0001,0.0
1605.txt,65,1,3.0017,0.0
1606.txt,270,1,3.0488,0.0
1607.txt,44,1,2.9839,0.0
1608.txt,112,1,3.0028,0.0
1609.txt,335,1,3.3626,0.0
161.txt,835,3,3.6352,0.5823
1610.txt,108,1,2.9976,0.0
1611.txt,385,1,3.1093,0.0
1612.txt,1672,5,3.3438,0.3173
1613.txt,147,1,2.1011,0.0
1614.txt,95,1,2.9985,0.0
1615.txt,160,1,3.009,0.0
1616.txt,804,3,3.3584,0.375
1617.txt,224,1,4.0742,0.0
1618.txt,75,1,3.0128,0.0
1619.txt,67,1,3.0094,0.0
162.txt,46,1,3.017,0.0
1620.txt,43,1,3.0104,0.0
1621.txt,3246,9,3.1132,0.2461
1622.txt,1554,4,2.2913,0.2596
1623.txt,96,1,3.0344,0.0
1624.txt,2371,6,2.9112,0.1435
1625.txt,505,2,3.6773,0.8805
1626.txt,102,1,2.6042,0.0
1627.txt,1901,5,2.5306,0.3733
1628.txt,245,1,3.1806,0.0
1629.txt,2058,6,3.3559,0.4236
163.txt,365,1,3.0129,0.0
1630.txt,169,1,3.0005,0.0
1631.txt,2800,7,2.791,0.5647
1632.txt,76,1,2.8206,0.0
1633.txt,69,1,2.9868,0.0
1634.txt,3763,10,3.5477,0.9411
1635.txt,160,1,3.4734,0.0
1636.txt,2362,6,2.8378,0.7666
1637.txt,1141,3,2.8704,0.1812
